"SJALL014946_D1"	"SJALL014947_D1"	"SJALL014949_D1"	"SJALL014950_D1"	"SJALL014952_D1"
"SLC47A1"	1	0	0	0	0
"RPL17P43"	173	94	25	10	19
"SNORA59B"	0	0	0	0	5
"SLC47A1P1"	1	0	0	0	0
"MTND1P14"	0	0	0	0	0
"NMTRQ-TTG12-1"	0	0	0	0	0
"MTND2P12"	0	0	6	0	3
"MTCO1P39"	0	0	0	0	0
"SLC47A1P2"	0	0	0	0	0
"ALDH3A2"	59	11	12	28	48
"SLC47A2"	0	0	0	0	0
"ALDH3A1"	4	0	1	0	1
"ULK2"	39	2	16	38	31
"NDUFB4P3"	0	23	0	0	9
"AKAP10"	71	39	99	90	68
"SPECC1"	32	18	11	23	6
"KCTD9P1"	276	62	97	179	52
"RNU6-258P"	0	0	151	0	0
"RNU6-1057P"	0	0	225	0	37
"CCDC144CP"	16	6	4	3	3
"RNU6-467P"	0	0	0	0	0
"UPF3AP2"	69	0	5	4	23
"SRP68P3"	0	0	0	0	0
"USP32P3"	227	91	63	58	79
"NOS2P3"	0	0	0	0	0
"LGALS9B"	0	0	0	1	0
"TNPO1P3"	0	3	22	11	4
"YWHAEP3"	0	0	0	0	0
"KRT16P5"	0	0	0	0	0
"KRT17P6"	0	1	3	0	9
"KRT17P7"	0	0	0	1	0
"TBC1D3P3"	0	0	0	0	0
"COTL1P2"	0	0	0	0	0
"CDRT15L2"	0	0	0	0	0
"ZSWIM5P2"	0	0	0	0	0
"MEIS3P2"	0	0	0	0	0
"LINC02088"	0	0	0	0	1
"RNFT1P3"	1	2	0	2	1
"HNRNPA1P19"	0	24	0	0	0
"OLA1P2"	0	7	17	9	240
"SCDP1"	0	0	0	5	123
"ABHD17AP6"	0	0	0	0	1
"CCDC144NL-AS1"	0	0	0	0	0
"RNU6-1178P"	0	0	71	0	0
"RNASEH1P1"	0	0	10	0	15
"SPECC1P2"	0	0	0	0	2
"USP22"	1010	2870	1388	888	1186
"LINC01563"	0	0	0	0	0
"DHRS7B"	10	6	9	9	8
"TMEM11"	122	217	113	124	149
"RN7SL426P"	0	0	25	0	25
"NATD1"	54	159	119	36	94
"EIF1P5"	31	51	56	23	35
"MAP2K3"	690	1533	568	170	947
"KCNJ12"	0	1	1	0	486
"PDLIM1P2"	0	0	0	0	12
"RPL21P120"	338	402	60	98	68
"KCNJ18"	0	0	0	0	1
"NCOR1P2"	0	0	1	2	0
"FTLP13"	0	0	0	0	0
"LINC02002"	0	0	0	0	0
"FAM27E5"	0	0	0	0	0
"MTCYBP13"	0	0	0	0	0
"MTND1P15"	0	0	0	0	0
"MTND2P13"	0	0	0	0	0
"NMTRS-TGA3-1"	0	0	0	0	0
"MTATP6P3"	0	0	0	0	0
"MTCO3P13"	0	0	0	0	9
"PDLIM1P3"	0	0	0	0	0
"GTF2IP6"	0	0	0	5	2
"VN1R71P"	0	0	0	0	0
"TUFMP1"	0	13	0	4	5
"RPL34P31"	91	0	102	116	10
"RPS16P8"	0	0	0	0	0
"MIR4522"	0	106	0	71	44
"WSB1"	1321	3102	1530	2053	570
"SYPL1P2"	46	12	62	85	52
"KSR1"	25	52	25	33	29
"ITM2BP1"	25	0	0	0	5
"LGALS9"	783	241	334	438	567
"NOS2P1"	1	0	2	0	1
"CPDP1"	0	0	53	0	13
"LGALS9DP"	0	5	4	0	9
"NOS2"	40	4	1	38	0
"LYRM9"	36	18	24	59	5
"LINC01992"	0	0	0	0	0
"NLK"	24	17	33	41	32
"RPS29P22"	0	54	0	0	0
"ERVE-1"	0	3	0	0	2
"KRT18P55"	0	0	0	0	0
"TMEM97"	134	177	42	109	155
"IFT20"	660	332	405	396	507
"TNFAIP1"	84	219	112	134	111
"POLDIP2"	678	532	267	440	328
"TMEM199"	409	441	259	213	250
"MIR4723"	0	0	0	0	0
"SEBOX"	0	0	0	0	0
"SARM1"	11	50	41	17	64
"VTN"	2	1	3	0	5
"SLC46A1"	1	1	4	1	16
"RSKR"	5	12	9	18	11
"RPS7P1"	1509	1241	337	507	247
"SLC13A2"	0	0	0	0	0
"FOXN1"	0	0	0	0	0
"UNC119"	1633	937	888	1041	756
"PIGS"	353	391	165	255	178
"ALDOC"	340	588	156	339	81
"SPAG5"	428	927	212	218	382
"SPAG5-AS1"	49	55	46	25	15
"SDF2"	239	299	170	159	96
"RPS12P28"	0	0	17	0	0
"SUPT6H"	499	1388	683	367	400
"PROCA1"	115	110	169	121	119
"RAB34"	2843	3775	1090	525	681
"RPL23A"	36982	31663	7386	10201	7839
"SNORD42B"	0	0	114	93	57
"SNORD4A"	9548	10208	8109	8346	6854
"SNORD42A"	0	0	0	0	0
"SNORD4B"	0	0	0	0	0
"TLCD1"	9	12	12	5	11
"TRAF4"	1964	4677	1303	537	2308
"FAM222B"	9	25	14	13	17
"RPL31P58"	0	0	0	0	0
"ERAL1"	358	295	186	239	251
"MIR451A"	0	0	0	0	0
"MIR451B"	0	0	0	0	0
"MIR144"	0	0	0	0	0
"MIR4732"	0	0	0	0	0
"FLOT2"	519	207	386	433	302
"DHRS13"	191	209	111	212	181
"PHF12"	627	880	267	195	183
"PIPOX"	3	3	2	3	2
"SEZ6"	1	7	3	0	0
"MYO18A"	345	459	687	674	977
"TWF1P1"	48	87	7	41	54
"CRYBA1"	0	0	0	0	0
"NUFIP2"	2367	4121	1856	1093	807
"RPL35AP35"	0	26	0	0	0
"RNU4-34P"	0	0	0	0	30
"TAOK1"	136	82	202	265	132
"MIR4523"	0	0	0	0	0
"RNU6-711P"	0	0	0	0	0
"RNU6-1034P"	0	0	0	0	38
"ABHD15"	746	489	552	467	3541
"ABHD15-AS1"	2	1	0	0	0
"TP53I13"	1281	964	778	738	3178
"GIT1"	477	1182	389	264	606
"ANKRD13B"	50	37	27	17	73
"CORO6"	105	413	174	175	130
"SSH2"	99	125	199	242	73
"RNU6-920P"	0	1613	249	1695	208
"RPL21P123"	751	2327	1735	516	786
"RPL9P30"	0	0	0	0	13
"EFCAB5"	1	3	5	3	3
"RNY4P13"	0	0	0	0	0
"NSRP1"	39	53	52	35	52
"hsa-mir-423"	0	0	0	0	0
"MIR423"	0	0	0	0	0
"MIR3184"	0	0	0	0	0
"SLC6A4"	0	1	1	0	0
"BLMH"	205	343	89	137	102
"RNU6-1267P"	0	1298	500	174	35
"TMIGD1"	0	0	1	0	0
"RNU6-990P"	164	0	0	0	0
"CPD"	95	289	83	98	91
"GOSR1"	88	139	103	90	108
"ALOX12P1"	0	9	0	0	0
"TBC1D29P"	86	6	78	3	0
"KRT17P3"	0	2	0	0	0
"SMURF2P1"	16	13	7	11	7
"SH3GL1P2"	705	797	252	325	249
"LRRC37BP1"	224	191	94	146	87
"RN7SL316P"	0	33	0	22	0
"SUZ12P1"	108	165	133	109	108
"CRLF3"	125	119	131	125	56
"ATAD5"	100	142	46	69	104
"RNU6-298P"	535	386	0	194	640
"TEFM"	68	71	58	74	47
"ADAP2"	10	5	11	10	9
"RN7SL138P"	59	0	52	151	26
"RNF135"	87	48	52	122	40
"DPRXP4"	418	177	320	337	167
"MIR4733"	0	122	202	246	50
"NF1"	47	108	105	74	64
"OMG"	33	20	18	6	4
"EVI2B"	1164	483	527	281	96
"EVI2A"	1165	328	465	317	72
"AK4P1"	25	164	101	82	84
"RAB11FIP4"	35	42	65	20	41
"RN7SL79P"	0	0	26	0	0
"RN7SL45P"	114	92	331	20	268
"MIR4724"	0	0	0	0	0
"MIR193A"	0	0	174	70	43
"RNU6ATAC7P"	0	72	60	0	30
"MIR4725"	0	0	0	0	0
"MIR365B"	0	0	0	0	0
"RNU6-1134P"	0	0	0	0	0
"COPRS"	239	92	38	139	110
"UTP6"	213	176	111	150	67
"SUZ12"	337	322	151	217	194
"RNA5SP437"	132	286	0	0	0
"LRRC37B"	101	216	109	114	95
"SH3GL1P1"	136	610	358	244	301
"WDR45BP1"	0	35	14	12	7
"RHOT1"	77	32	42	66	44
"ARGFXP2"	0	0	0	0	3
"UBL5P2"	0	42	0	28	104
"RHBDL3"	0	0	0	0	4
"C17orf75"	46	42	52	61	42
"OOSP1P2"	0	30	88	10	19
"MIR632"	0	0	0	0	0
"ZNF207"	2752	2769	2213	2030	1205
"PSMD11"	342	528	318	248	264
"CDK5R1"	111	206	163	95	89
"MYO1D"	0	0	1	0	0
"TMEM98"	2	2	0	0	1
"SPACA3"	0	0	0	0	0
"ASIC2"	0	0	0	0	1
"TLK2P1"	15	92	94	34	39
"RNA5SP438"	0	0	0	0	0
"LINC01989"	0	0	0	0	0
"CCL2"	0	47	3	0	37
"CCL7"	0	22	0	0	0
"CCL11"	0	0	2	0	0
"CCL8"	0	13	0	0	0
"CCL13"	0	4	0	0	0
"CCL1"	0	3	7	0	0
"TMEM132E"	0	0	0	0	0
"CCT6B"	8	13	9	5	7
"ZNF830"	977	1189	826	979	832
"LIG3"	390	374	374	382	387
"RFFL"	24	58	48	22	27
"RAD51D"	69	39	92	82	73
"RNU6-840P"	0	0	0	0	0
"FNDC8"	0	0	0	0	0
"NLE1"	199	138	44	99	114
"UNC45B"	0	0	0	0	0
"SLC35G3"	0	0	8	9	0
"SLFN5"	8	62	304	41	1612
"SLFN11"	199	153	282	389	533
"SLFN12"	6	10	34	43	18
"SLFN13"	53	118	218	670	891
"SLFN12L"	0	2	1	2	14
"E2F3P1"	0	14	0	0	15
"TOMM20P2"	80	65	72	249	841
"SLFN14"	12	10	3	7	10
"SNHG30"	76	77	78	138	71
"SNORD7"	0	0	0	0	0
"PEX12"	49	51	26	34	23
"AP2B1"	131	119	123	120	112
"RASL10B"	1	11	5	2	20
"GAS2L2"	1	9	15	6	12
"MMP28"	3	9	54	47	8
"C17orf50"	0	0	1	0	9
"TAF15"	106	77	123	89	113
"HEATR9"	12	11	5	0	2
"CCL5"	242	210	60	112	112
"LRRC37A9P"	3	6	9	8	45
"RDM1"	1	1	0	1	8
"LYZL6"	0	0	2	0	0
"CCL16"	0	5	0	1	3
"CCL14"	0	0	4	0	0
"CCL15-CCL14"	0	0	0	0	0
"CCL15"	0	1	0	0	0
"CCL23"	0	0	0	1	0
"CCL18"	10	1	0	0	1
"CCL3"	584	757	253	38	97
"CCL4"	28	265	101	51	214
"RN7SL301P"	0	0	0	0	0
"TBC1D3B"	4	0	0	0	0
"CCL4L2"	52	215	23	12	13
"TBC1D3I"	0	0	0	0	0
"TBC1D3G"	0	0	0	0	0
"TBC1D3H"	0	0	0	0	0
"RNU6-1192P"	0	0	0	0	0
"TBC1D3F"	0	0	0	0	4
"ZNHIT3"	279	280	103	154	91
"RNA5SP439"	0	0	0	0	154
"MYO19"	199	214	155	162	200
"PIGW"	156	195	89	171	154
"GGNBP2"	1168	1173	601	507	370
"DHRS11"	85	315	106	72	156
"MRM1"	48	68	37	58	69
"LHX1-DT"	0	0	0	0	0
"LHX1"	0	2	3	0	0
"AATF"	102	99	70	62	61
"MIR2909"	1246	1888	557	544	670
"ACACA"	29	39	25	21	30
"HMGB1P24"	237	96	327	216	279
"C17orf78"	0	0	0	0	0
"TADA2A"	32	10	23	33	23
"DUSP14"	21	54	16	20	17
"SYNRG"	50	46	148	149	95
"DDX52"	736	672	255	365	267
"MIR378J"	4080	4757	1613	1600	1478
"HNF1B"	0	0	0	0	0
"RNU6-489P"	0	0	0	0	0
"TBC1D3K"	0	0	0	0	0
"TBC1D3L"	23	48	13	33	22
"TBC1D3D"	0	0	9	0	0
"TBC1D3C"	0	0	0	0	0
"TBC1D3E"	0	3	2	3	1
"RNA5SP526"	0	0	0	0	0
"TBC1D3"	0	0	8	0	0
"MRPL45"	236	153	46	76	58
"GPR179"	1	3	4	4	8
"SOCS7"	64	109	86	110	110
"ARHGAP23"	19	49	42	45	135
"SRCIN1"	0	0	0	0	0
"EPOP"	26	146	58	17	64
"MIR4734"	0	0	0	89	220
"MLLT6"	1286	1612	1553	1192	1462
"MIR4726"	0	0	0	0	0
"CISD3"	283	104	102	82	92
"RNA5SP440"	2298	1088	64	52	64
"PCGF2"	0	25	3	0	3
"PSMB3"	764	501	242	462	425
"RNU6-866P"	0	75	0	0	0
"PIP4K2B"	295	146	280	472	320
"CWC25"	520	1086	781	320	758
"MIR4727"	0	169	701	114	422
"C17orf98"	2	31	10	4	1
"RPL23"	34426	34893	8063	15197	5881
"SNORA21B"	0	0	0	0	0
"SNORA21"	0	0	0	0	0
"LASP1"	420	1137	255	266	168
"MIR6779"	0	145	0	0	0
"FBXO47"	0	0	0	0	0
"LINC02079"	0	0	0	0	9
"RDM1P5"	0	0	0	0	0
"PLXDC1"	7	7	12	6	1
"ARL5C"	27	28	10	13	7
"CACNB1"	44	100	55	50	52
"RPL19"	62485	70948	15447	26651	17830
"STAC2"	1	0	0	0	0
"FBXL20"	40	57	70	51	41
"MED1"	213	399	279	279	252
"CDK12"	306	598	344	251	292
"RNU6-233P"	0	0	0	0	0
"NEUROD2"	2	1	3	0	5
"PPP1R1B"	1	9	14	4	2
"STARD3"	207	268	282	255	188
"TCAP"	140	669	502	624	413
"PNMT"	20	58	151	14	33
"PGAP3"	102	82	116	38	45
"ERBB2"	62	119	258	16	12
"MIR4728"	0	278	344	93	0
"MIEN1"	1073	851	1075	797	1157
"GRB7"	1	119	55	0	17
"IKZF3"	9	62	184	22	322
"KRT8P34"	65	255	254	17	791
"ZPBP2"	1	1	0	0	0
"GSDMB"	169	191	561	163	377
"ORMDL3"	1777	1766	1330	825	1621
"LRRC3C"	0	0	0	0	0
"GSDMA"	0	0	0	2	0
"PSMD3"	773	826	329	457	438
"CSF3"	0	18	0	2	6
"MED24"	224	316	184	164	231
"MIR6884"	0	0	0	0	0
"SNORD124"	164	267	147	59	110
"THRA"	208	215	81	86	119
"NR1D1"	108	194	81	56	69
"MSL1"	1084	1106	719	1289	779
"CASC3"	459	684	381	270	392
"MIR6866"	0	0	0	0	0
"RAPGEFL1"	24	180	169	50	85
"MIR6867"	256	278	344	0	57
"WIPF2"	66	130	88	55	93
"CDC6"	177	273	83	130	234
"RARA"	90	551	124	15	358
"RARA-AS1"	119	234	170	16	452
"GJD3"	12	0	0	0	0
"PPIAP54"	0	94	0	12	0
"RNA5SP441"	194	0	0	0	0
"TOP2A"	660	310	119	359	809
"RPL23AP75"	0	20	16	0	16
"IGFBP4"	249	270	188	38	190
"TNS4"	0	2	2	0	0
"CCR7"	66	157	539	45	82
"SMARCE1"	427	331	295	249	147
"KRT222"	0	0	0	0	0
"KRT24"	0	0	3	2	1
"KRT223P"	0	3	0	2	0
"KRT25"	0	2	1	0	0
"KRT26"	2	0	1	0	3
"KRT27"	0	0	1	0	0
"KRT28"	0	0	0	0	0
"KRT10"	339	363	104	299	169
"KRT12"	0	0	0	1	1
"KRT20"	0	0	0	0	0
"KRT23"	0	0	9	0	2
"KRT39"	0	1	0	0	1
"KRT40"	3	0	2	0	0
"KRTAP3-3"	23	0	10	0	10
"KRTAP3-2"	0	0	0	0	0
"KRTAP3-4P"	0	0	0	0	0
"KRTAP3-1"	0	0	0	0	0
"KRTAP1-5"	0	0	0	0	0
"KRTAP1-4"	0	0	0	0	0
"KRTAP1-3"	0	0	7	0	3
"KRTAP1-1"	0	0	0	0	0
"KRTAP2-1"	0	0	0	0	0
"KRTAP2-2"	0	0	0	0	0
"KRTAP2-3"	0	10	0	0	0
"KRTAP2-4"	0	0	0	0	0
"KRTAP2-5P"	0	0	0	0	0
"KRTAP4-7"	0	0	0	0	3
"KRTAP4-8"	0	0	0	0	3
"KRTAP4-16"	0	0	0	0	0
"KRTAP4-9"	15	0	6	11	0
"KRTAP4-11"	0	0	6	0	0
"KRTAP4-12"	15	0	0	0	0
"KRTAP4-6"	0	0	0	0	0
"KRTAP4-5"	0	0	0	0	0
"KRTAP4-4"	0	0	0	0	0
"KRTAP4-3"	0	0	0	0	3
"KRTAP4-2"	0	0	0	0	0
"KRTAP4-1"	0	0	0	7	0
"KRTAP4-17P"	0	0	0	0	39
"KRTAP9-1"	0	0	0	0	0
"KRTAP9-12P"	0	0	0	0	0
"KRTAP9-2"	0	0	0	0	0
"KRTAP9-3"	0	0	0	0	0
"KRTAP9-8"	0	0	0	0	3
"KRTAP9-4"	0	0	0	0	0
"KRTAP9-9"	0	0	7	0	0
"KRTAP9-6"	0	0	0	0	0
"KRTAP9-11P"	0	0	0	0	0
"KRTAP9-7"	0	0	0	0	0
"KRTAP9-10P"	0	0	0	0	0
"KRTAP29-1"	0	0	0	0	0
"KRTAP16-1"	10	34	14	7	18
"KRTAP17-1"	0	0	28	7	0
"TBC1D3P7"	0	1	0	0	0
"KRT33A"	0	0	0	0	1
"KRT33B"	0	1	1	0	0
"KRT34"	0	0	0	0	2
"KRT31"	0	0	0	0	0
"KRT41P"	6	1	1	0	0
"KRT37"	0	0	0	0	1
"KRT38"	0	0	0	0	0
"KRT43P"	0	3	0	0	0
"KRT32"	0	0	0	0	0
"RNU2-32P"	0	0	0	0	0
"KRT35"	0	0	0	0	1
"KRT36"	2	0	0	0	1
"KRT13"	3	3	1	0	2
"KRT15"	0	1	1	0	1
"MIR6510"	0	0	0	0	0
"KRT19"	0	1	0	2	0
"LINC00974"	0	0	0	0	0
"KRT9"	0	1	3	0	0
"KRT14"	0	0	1	0	2
"KRT16"	0	0	2	0	0
"KRT17"	0	0	1	0	1
"EIF1"	28082	61780	46918	32448	27952
"GAST"	0	5	4	0	1
"HAP1"	64	93	84	557	33
"RNA5SP442"	0	86	0	0	35
"RN7SL399P"	0	264	27	421	27
"JUP"	721	2209	1919	1442	895
"P3H4"	0	14	7	29	39
"FKBP10"	0	1	0	1	9
"NT5C3B"	152	354	133	312	164
"KLHL10"	0	1	2	0	0
"KLHL11"	772	675	317	285	420
"ACLY"	318	232	160	256	211
"CNP"	699	378	359	530	1034
"DNAJC7"	478	636	548	294	426
"NKIRAS2"	226	264	132	238	211
"ZNF385C"	0	0	0	0	1
"C17orf113"	6	5	8	14	14
"DHX58"	112	79	103	148	371
"KAT2A"	1317	996	526	517	1211
"HSPB9"	0	16	0	0	76
"RAB5C"	130	273	126	93	123
"KCNH4"	0	0	5	1	9
"HCRT"	0	0	0	22	27
"GHDC"	320	147	164	262	250
"STAT5B"	146	86	153	311	111
"STAT5A"	432	1878	462	632	315
"STAT3"	157	664	155	154	129
"CAVIN1"	1	4	8	1	3
"RNU7-97P"	0	0	0	0	0
"ATP6V0A1"	19	21	15	9	42
"MIR548AT"	297	482	0	0	200
"MIR5010"	0	77	63	0	95
"PTP4A2P1"	35	153	31	12	55
"NAGLU"	105	115	104	130	220
"HSD17B1P1"	34	37	27	15	66
"HSD17B1"	66	140	99	53	185
"COASY"	761	900	596	689	693
"MLX"	728	487	479	598	382
"PSMC3IP"	101	237	90	93	201
"RETREG3"	210	191	235	309	194
"TUBG1"	275	265	93	254	529
"ATP5MGP7"	0	0	0	0	12
"HMGB3P27"	0	0	0	0	0
"TUBG2"	24	29	19	87	77
"PLEKHH3"	13	68	38	20	50
"CCR10"	16	63	54	25	39
"CNTNAP1"	75	7	58	5	26
"EZH1"	224	201	306	231	221
"MIR6780A"	0	0	226	92	0
"HMGN2P15"	0	136	112	160	169
"RAMP2-AS1"	0	1	4	0	1
"RAMP2"	7	1	1	0	0
"VPS25"	451	204	149	213	187
"WNK4"	6	7	6	0	1
"COA3"	252	113	129	173	168
"CNTD1"	1	2	1	0	0
"BECN1"	496	387	328	370	225
"MIR6781"	269	0	240	97	422
"PSME3"	467	446	266	251	252
"AOC2"	71	251	119	67	46
"AOC3"	34	204	47	32	25
"LINC00671"	4	0	2	27	0
"RNU6-287P"	0	0	0	0	0
"AARSD1"	19	19	6	9	10
"PTGES3L-AARSD1"	0	0	0	0	0
"PTGES3L"	0	2	1	3	3
"RUNDC1"	181	529	325	225	460
"RPL27"	24335	21737	5294	10739	5341
"IFI35"	210	145	255	216	791
"VAT1"	322	326	272	328	399
"RND2"	0	8	14	3	48
"BRCA1"	35	11	23	36	65
"RPL21P4"	0	19	15	0	0
"NBR2"	13	15	33	29	17
"NBR1"	192	51	91	99	89
"TMEM106A"	264	515	921	531	552
"CCDC200"	0	10	1	0	0
"RNU2-1"	0	0	0	97	0
"LINC00910"	33	112	36	17	18
"RNU2-4P"	0	0	0	0	0
"RNU6-1137P"	172	0	0	0	38
"ARL4D"	94	192	257	126	88
"RNU6-470P"	0	178	0	59	0
"MIR2117HG"	0	0	1	0	0
"MIR2117"	0	0	0	0	0
"RNU6-406P"	0	0	0	58	0
"RNU6-971P"	0	0	0	0	0
"DHX8"	167	424	198	166	159
"ETV4"	2	2	0	1	0
"MEOX1"	0	0	1	0	0
"LINC02594"	0	0	0	0	0
"WHSC1L2P"	87	30	32	69	26
"SOST"	0	10	0	0	0
"DUSP3"	385	394	111	111	80
"CFAP97D1"	4	5	1	0	2
"MPP3"	0	3	1	0	0
"CD300LG"	0	0	0	0	0
"MPP2"	0	8	1	1	6
"FAM215A"	0	0	0	7	19
"LINC01976"	0	0	0	0	0
"PPY"	0	0	4	0	0
"PYY"	0	0	0	0	0
"NAGS"	0	26	10	5	1
"TMEM101"	152	192	80	83	84
"LSM12"	93	110	68	53	69
"G6PC3"	126	67	77	84	86
"HDAC5"	658	1380	725	288	479
"RNU6-131P"	0	0	0	0	0
"ASB16"	0	25	14	0	3
"ASB16-AS1"	100	118	186	181	123
"TMUB2"	1076	1015	963	1079	645
"ATXN7L3"	1564	3195	1425	1633	1028
"UBTF"	973	921	845	922	1044
"MIR6782"	0	0	0	0	0
"SHC1P2"	11	24	0	0	7
"SLC4A1"	995	1277	86	395	421
"RN7SL507P"	0	62	25	20	25
"RUNDC3A-AS1"	4	15	2	1	3
"RNU6-453P"	0	0	0	0	0
"RUNDC3A"	19	16	5	13	10
"SLC25A39"	1816	2254	821	1555	1123
"GRN"	806	672	567	475	623
"FAM171A2"	0	4	1	2	6
"RPL7L1P5"	0	49	51	0	5
"ITGA2B"	17	124	40	10	24
"GPATCH8"	103	368	212	120	201
"RN7SL258P"	113	1963	810	227	686
"FZD2"	31	111	40	122	82
"SMCO4P1"	0	0	0	0	0
"LINC01180"	0	0	0	0	0
"MEIOC"	1	1	0	1	21
"CCDC43"	390	530	203	264	284
"DBF4B"	19	34	31	25	51
"RN7SL819P"	0	34	28	0	28
"ADAM11"	7	21	23	9	21
"GJC1"	1	67	27	70	181
"HIGD1B"	0	0	0	1	8
"EFTUD2"	371	609	318	283	361
"RN7SL405P"	0	0	0	0	13
"CCDC103"	5	5	8	2	12
"GFAP"	1	0	2	7	1
"FAM187A"	0	0	0	0	0
"KIF18B"	85	46	32	72	193
"MIR6783"	0	0	0	0	0
"NMT1"	52	66	71	72	54
"C1QL1"	0	0	0	0	12
"DCAKD"	53	15	31	43	42
"PLCD3"	2	66	10	6	12
"MIR6784"	0	0	0	0	0
"ACBD4"	89	26	98	91	76
"HEXIM1"	4695	9759	6413	1618	911
"HEXIM2"	43	117	71	25	82
"FMNL1"	1475	4199	1354	431	615
"MAP3K14-AS1"	7	63	17	23	10
"SPATA32"	0	17	7	2	3
"MAP3K14"	55	72	72	46	122
"RNA5SP443"	0	0	0	0	0
"ARHGAP27"	343	649	1194	515	193
"PLEKHM1"	162	724	376	129	155
"MIR4315-1"	0	0	0	0	0
"LRRC37A4P"	159	66	456	225	271
"RDM1P1"	0	3	0	0	2
"DND1P1"	80	78	193	250	186
"MAPK8IP1P2"	0	1041	5	0	2
"RPS26P8"	0	26	65	53	10
"LINC02210"	7	24	19	33	29
"LINC02210-CRHR1"	0	0	0	0	0
"CRHR1"	0	0	0	0	0
"MAPT-AS1"	0	0	0	0	0
"SPPL2C"	0	0	0	0	0
"MAPT"	1	0	1	0	0
"MAPT-IT1"	0	3	0	0	0
"STH"	0	0	0	0	0
"KANSL1"	161	475	399	153	153
"KANSL1-AS1"	55	70	40	15	18
"MAPK8IP1P1"	0	82	0	0	2
"ARL17B"	2	33	17	0	6
"LRRC37A"	10	49	41	12	4
"RN7SL656P"	0	0	162	0	13
"NSFP1"	0	0	3	0	4
"ARL17A"	5	1	30	2	5
"RDM1P2"	0	3	2	1	0
"LRRC37A2"	28	147	132	47	52
"RN7SL199P"	0	0	81	0	0
"FAM215B"	4	2	85	3	7
"NSF"	13	39	15	10	15
"RPS7P11"	550	642	233	242	123
"WNT3"	0	0	0	0	1
"WNT9B"	0	0	0	0	0
"LINC01974"	0	0	4	0	0
"RNU6ATAC3P"	0	0	0	0	0
"GOSR2"	86	51	113	98	80
"MIR5089"	0	0	0	148	45
"RPRML"	15	16	13	22	3
"LRRC37A17P"	0	1	14	3	2
"RN7SL270P"	0	0	0	0	13
"CDC27"	220	255	203	149	200
"MYL4"	20	16	3	8	78
"ITGB3"	1	0	0	0	3
"RNU7-186P"	0	0	0	0	0
"EFCAB13"	17	10	20	28	23
"MRPL45P2"	19	17	17	21	15
"NPEPPS"	130	245	157	135	135
"KPNB1"	1439	1321	918	1034	884
"TBKBP1"	348	274	159	46	242
"TBX21"	288	489	104	19	31
"MRPL10"	317	361	172	220	188
"LRRC46"	19	7	12	12	15
"SCRN2"	508	306	574	1086	511
"SP6"	6	16	4	4	2
"SP2"	25	114	56	29	68
"SP2-AS1"	3	0	1	0	1
"PNPO"	312	85	51	69	80
"PRR15L"	0	0	0	0	0
"CDK5RAP3"	238	114	169	184	149
"COPZ2"	0	1	1	0	1
"MIR152"	0	0	88	0	132
"NFE2L1"	704	785	409	568	623
"CBX1"	65	13	52	113	189
"RNU6-1201P"	0	0	0	174	107
"SNX11"	104	94	56	62	92
"SKAP1"	0	0	3	1	1
"MIR1203"	0	0	360	0	135
"SKAP1-AS1"	0	0	0	0	0
"RNU6-1152P"	0	0	285	0	71
"HOXB1"	0	0	0	0	0
"HOXB2"	4	8	28	16	8
"HOXB-AS1"	0	1	3	0	2
"HOXB3"	1	0	0	0	1
"HOXB-AS3"	0	0	0	0	0
"HOXB-AS2"	0	0	2	0	0
"HOXB4"	11	12	26	4	6
"MIR10A"	0	0	0	0	0
"HOXB5"	0	0	3	0	1
"HOXB6"	0	0	2	0	0
"HOXB7"	0	0	0	0	0
"HOXB8"	0	0	1	0	0
"HOXB9"	0	0	0	0	0
"HOXB-AS4"	0	1	0	0	0
"MIR196A1"	0	0	0	0	0
"LINC02086"	0	0	0	1	0
"RPL9P28"	29	63	13	10	6
"COX6B1P2"	0	0	0	0	0
"PRAC1"	0	11	0	0	0
"PRAC2"	0	0	0	7	0
"MIR3185"	0	0	0	0	0
"HOXB13"	0	0	1	0	0
"TTLL6"	11	1	0	2	2
"RN7SL125P"	0	31	0	0	0
"CALCOCO2"	1254	702	632	785	507
"SUMO2P17"	0	0	0	0	1
"ATP5MC1"	1440	478	175	478	624
"UBE2Z"	412	742	476	431	339
"SNF8"	323	426	191	244	181
"RNU1-42P"	0	0	0	0	47
"GIP"	0	0	2	0	0
"IGF2BP1"	1	3	2	607	1
"RNU6-826P"	0	0	0	239	0
"B4GALNT2P1"	0	0	0	0	0
"B4GALNT2"	0	0	0	0	0
"GNGT2"	43	33	19	4	22
"ABI3"	101	54	49	7	13
"PHOSPHO1"	47	53	14	36	20
"MIR6129"	0	0	0	57	0
"ZNF652"	84	88	112	225	80
"EIF4EP2"	51	126	46	37	34
"LINC02075"	0	0	3	0	0
"NGFR"	9	29	3	46	1
"MIR6165"	0	0	0	0	0
"NXPH3"	4	25	2	3	6
"SPOP"	45	28	72	68	55
"SLC35B1"	557	448	285	285	296
"FAM117A"	40	40	47	43	51
"KAT7"	973	1059	706	561	605
"SRP14P3"	1403	1716	2347	2044	1527
"TAC4"	0	0	0	0	0
"RNU6-1313P"	0	0	0	0	0
"DLX4"	0	4	3	0	1
"DLX3"	0	12	2	0	1
"PICART1"	0	0	0	0	2
"ITGA3"	0	2	3	5	3
"PDK2"	117	39	71	91	55
